City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,cabedelo,-6.9811,-34.8339,24.37,86,59,4.17,BR,1720306147
83,newnham,-41.3833,147.1333,1.48,93,75,2.57,AU,1720306432
84,erbil,36.1926,44.0106,26.9,28,0,1.54,IQ,1720306434
85,lebu,-37.6167,-73.65,8.48,84,5,4.94,CL,1720306435
86,port mathurin,-19.6833,63.4167,22.7,76,90,8.65,MU,1720306436
87,itoman,26.1247,127.6694,31.01,82,20,3.09,JP,1720306437
88,parvatsar,26.8833,74.7667,29.27,71,88,5.81,IN,1720306438
89,utrik,11.2278,169.8474,28.15,77,24,7.77,MH,1720306439
90,qaqortoq,60.7167,-46.0333,4.76,98,100,2.43,GL,1720306440
91,atar,20.5169,-13.0499,30.74,43,30,2.45,MR,1720306441
92,port lincoln,-34.7333,135.8667,13.03,82,62,9.34,AU,1720306442
93,uturoa,-16.7333,-151.4333,26.2,77,6,7.85,PF,1720306443
94,parabel',58.6978,81.4825,14.1,69,100,4.32,RU,1720306444
95,vanimo,-2.6741,141.3028,25.86,92,100,2.84,PG,1720306445
96,tiksi,71.6872,128.8694,4.03,82,21,2.66,RU,1720306447
97,smithers,54.7804,-127.1743,25.18,31,0,4.12,CA,1720306448
98,thompson,55.7435,-97.8558,26.09,44,75,1.03,CA,1720305945
99,mil'kovo,55.6078,37.7956,16.7,65,2,2.54,RU,1720306450
100,kapa'a,22.0752,-159.319,28.18,67,75,5.14,US,1720306451
101,georgetown,5.4112,100.3354,26.96,83,20,1.54,MY,1720306220
102,puerto baquerizo moreno,-0.9,-89.6,24.55,88,20,3.6,EC,1720306454
103,sola,-13.8833,167.55,24.34,68,100,11.44,VU,1720306456
104,puerto santa,-8.9906,-78.6456,19.03,85,70,5.58,PE,1720306459
105,berdigestyakh,62.0989,126.6992,18.71,48,8,1.14,RU,1720306460
106,richland center,43.3347,-90.3868,26.9,69,38,1.03,US,1720306428
107,ak'ordat,15.5486,37.8867,25.82,59,100,5.79,ER,1720306463
108,port elizabeth,-33.918,25.5701,13.16,73,0,3.09,ZA,1720306061
109,ar rass,25.8694,43.4973,29.03,13,100,2.67,SA,1720306466
110,hameenkyro,61.6391,23.1953,15.25,89,99,3.72,FI,1720306467
111,ta`u,-14.2336,-169.5144,27.21,78,36,2.78,AS,1720306468
112,ocos,14.5094,-92.1933,29.1,82,86,2.94,GT,1720306469
113,balao,-2.9167,-79.8167,25.9,79,74,2.7,EC,1720306470
114,saint-joseph,-21.3667,55.6167,18.21,73,10,1.55,RE,1720306471
115,taoudenni,22.6783,-3.9836,37.66,21,20,5.31,ML,1720306472
116,baise city,23.8997,106.6133,24.95,93,10,1.29,CN,1720306474
117,chongwe,-15.3292,28.682,13.12,39,0,1.0,ZM,1720306475
118,east london,-33.0153,27.9116,14.94,37,78,4.81,ZA,1720306476
119,falkenberg,56.9055,12.4912,15.08,91,100,12.82,SE,1720306477
